Name,Score,Genders,Type,Source,Popularity,Favorites
Tokyo Majin Gakuen Kenpucho: Tou,7.15,"Action, Horror, Supernatural, Drama, Martial Arts, Fantasy, School",TV,Game,1871,260
Slam Dunk: Zenkoku Seiha Da! - Sakuragi Hanamichi,7.55,"Slice of Life, Comedy, Sports, Drama, School, Shounen",Movie,Manga,4463,23
Strike Witches OVA,6.29,"Action, Ecchi, Magic, Military, Sci-Fi",OVA,Original,3363,27
Silk Road Shounen Yuuto,NA,"Adventure, Fantasy, Historical",TV,Unknown,12286,0
Koisuru Tenshi Angelique: Kagayaki no Ashita,6.99,"Drama, Fantasy, Harem, Romance, Shoujo",TV,Game,5080,43
Getsumen To Heiki Mina,6.3,"Comedy, Parody, Sci-Fi",TV,Other,5721,13
Seirei Tsukai,5.82,"Action, Adventure, Fantasy, Magic, Romance, Shounen, Supernatural",Movie,Unknown,8006,2
Oira Uchuu no Tankoufu,6.31,"Action, Adventure, Sci-Fi, Shounen, Space",OVA,Unknown,9648,1
Giniro no Olynsis: Tokito,6.3,"Adventure, Drama, Romance, Mecha",TV,Original,5644,6
Nana Recaps,7,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",Special,Manga,4128,28
Saru Getchu: On Air,6.15,"Adventure, Comedy, Fantasy, Kids, Romance, Shounen",TV,Game,10439,5
Plawres Sanshirou,7.37,"Adventure, Sports, Mecha, School, Sci-Fi, Shounen",TV,Manga,7877,18
Love♥Love? Specials,6.03,"Ecchi, Comedy, Harem, Romance",Special,Original,6567,0
Kaze no Shoujo Emily,7.36,"Historical, Drama, Shoujo",TV,Novel,6216,16
Midnight Eye: Gokuu,6.48,"Action, Sci-Fi, Mystery, Seinen",OVA,Manga,5465,15
Midnight Eye: Gokuu II,6.23,"Action, Sci-Fi, Adventure, Mystery, Super Power, Seinen",OVA,Manga,7016,4
Sasami: Mahou Shoujo Club,6.62,"Fantasy, Magic, School",TV,Unknown,5882,19
Sasami: Mahou Shoujo Club 2,6.71,"Fantasy, Magic, School",TV,Unknown,7394,4
